DSD_VIEW,GROUP,TIME_PERIOD,CMPT_DATE,VALID_TO,RTN_DATE,MTIME,PK,KEY,OBS_VALUE,CNFDT_NUM,OBS_COM,UNIT_INDEX_BASE,OBS_STATUS,CNFDT_COU,CNFDT_OBS
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-08,2025-05-11,,,2025-05-11T11:07:33.305826Z,609892858638,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,240,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2025-04,2025-05-11,,,2025-05-11T19:37:38.486669Z,781688166954,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,34,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-04,2025-05-11,,,2025-05-11T11:07:33.305826Z,738744869646,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,252,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2025-02,2025-05-11,,,2025-05-11T11:07:33.305826Z,661431501547,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,47,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2022-09,2025-05-11,,,2025-05-11T19:37:38.486669Z,1340037195276,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,56,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-10,2025-05-11,,,2025-05-11T11:07:33.305826Z,936307387896,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,304,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2022-01,2025-05-11,,,2025-05-11T11:07:33.305826Z,1262724667031,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,260,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2021-12,2025-05-11,,,2025-05-11T19:37:38.486669Z,197574335697,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,70,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2024-01,2025-05-11,,,2025-05-11T11:07:33.305826Z,652840076883,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,41,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2024-02,2025-05-11,,,2025-05-11T19:37:38.486669Z,678610979344,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,276,,,Z,P,A6,PB_PB
