Prospectus Type,Document Type,Consideration offered,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,Issuer(s) Name / LEI,ISIN,First Passporting Date,Last Update Date,Host Member State(s),National Document ID
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,11/04/2025,DENMARK,Debt with denomination ≥ €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002062025,,11/04/2025,,DK250050459
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,11/04/2025,DENMARK,Debt with denomination ≥ €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002062108,,11/04/2025,,DK250050459
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,11/04/2025,DENMARK,Debt with denomination ≥ €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002062298,,11/04/2025,,DK250050459
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,,10/04/2025,DENMARK,Debt with denomination < €100.000 available only to qualified investors,DANMARKS SKIBSKREDIT A/S - 549300T70JXFWEXCK295,DK0004134020,,10/04/2025,,DK250049968
Standalone Prospectus,Standalone prospectus,Not applicable,,26/03/2025,DENMARK,Debt with denomination ≥ €100.000,EUROPEAN ENERGY A/S - 21380051RCIXDBLT6P16,DK0030541289,,31/03/2025,,DK250050177
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/03/2025,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009417198,,17/03/2025,,DK250049420
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/03/2025,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009417271,,17/03/2025,,DK250049420
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/02/2025,DENMARK,Debt with denomination ≥ €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416976,,19/02/2025,,DK250047986
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,23/01/2025,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030522818,,23/01/2025,,250047627
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,23/01/2025,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030523113,,23/01/2025,,250047627
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,23/01/2025,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030523030,,23/01/2025,,250047627
Standalone Prospectus,Standalone prospectus,200000000,,16/01/2025,DENMARK,Debt with denomination ≥ €100.000,TOPSOE A/S - 213800W8V7KMWTKSPZ56,DK0030539622,,20/01/2025,,DK250047365
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,13/01/2025,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416703,,13/01/2025,,250047064
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,13/01/2025,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416620,,13/01/2025,,250047064
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,13/01/2025,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416893,,13/01/2025,,250047064
Standalone Prospectus,Standalone prospectus,171099819.9,,10/01/2025,DENMARK,Shares,BRØNDBYERNES I.F. FODBOLD A/S - 213800DAZ89VABJPBD93,DK0010247956,,13/01/2025,,DK250047115
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,20/12/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061647,,23/12/2024,,240046442
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,20/12/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061720,,23/12/2024,,240046442
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,20/12/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061803,,23/12/2024,,240046442
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,20/12/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061993,,23/12/2024,,240046442
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548539,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548612,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548885,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548968,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009549180,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009549263,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009549347,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009549420,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,19/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009549503,,19/12/2024,,240046277
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/12/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061563,,17/12/2024,,240045916
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/12/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416380,,17/12/2024,,240045560
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/12/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416463,,17/12/2024,,240045560
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/12/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416547,,17/12/2024,,240046085
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009549693,,17/12/2024,,240046118
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/12/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009549776,,17/12/2024,,240046118
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/12/2024,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030522735,,17/12/2024,,240046232
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/12/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004632056,,17/12/2024,,240046281
Standalone Prospectus,Standalone prospectus,Not applicable,02/12/2024,02/12/2024,DENMARK,Shares,ASETEK A/S - 213800ATZVDWWKJ8NI47,DK0060477263,02/12/2024,02/12/2024,NORWAY,DK240045840
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,,22/11/2024,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030523386,,22/11/2024,,240045383
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630787,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630514,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630357,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630431,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630944,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631082,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631165,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631249,,15/11/2024,,240038318
