Prospectus Type,Document Type,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,ISIN,First Passporting Date,Last Update Date,National Document ID,Consideration offered,Issuer(s) Name / LEI,Host Member State(s)
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/05/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572414,,26/04/2025,FTWS664847,Max 340000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572273,,25/04/2025,FTWS663992,Max 100000000,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572422,,26/04/2025,FTWS664848,Max 200000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572406,,26/04/2025,FTWS664849,Max 200000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572042,,26/04/2025,FTWS664853,Max 50000000,BICZ Bond 2024 CR s.r.o. - 3157006C8O37QWMV6H25,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572059,,26/04/2025,FTWS665000,Max 150000000,BICZ Bond 2024 CR s.r.o. - 3157006C8O37QWMV6H25,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572075,,26/04/2025,FTWS665001,Max 1000000,BICZ Bond 2024 CR s.r.o. - 3157006C8O37QWMV6H25,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572067,,26/04/2025,FTWS664999,Max 100000000,BICZ Bond 2024 CR s.r.o. - 3157006C8O37QWMV6H25,
Standalone Prospectus,Standalone prospectus,,22/04/2025,CZECHIA,Shares,CZ0009013272,,24/04/2025,STDA100844,From 160140000 to 266900000,ALEMAR Food Group a.s. - 315700L63KOVVLIKGM26,
Standalone Prospectus,Standalone prospectus,,22/04/2025,CZECHIA,Shares,CZ1008000831,,24/04/2025,STDA100844,From 120000000 to 600000000,ALEMAR Food Group a.s. - 315700L63KOVVLIKGM26,
Standalone Prospectus,Standalone prospectus,,22/04/2025,CZECHIA,Shares,CZ0009013272,,24/04/2025,STDA100843,From 1750440000 to 2917400000,ALEMAR Food Group a.s. - 315700L63KOVVLIKGM26,
Standalone Prospectus,Standalone prospectus,,22/04/2025,CZECHIA,Shares,CZ1008000831,,24/04/2025,STDA100843,From 1200000000 to 6000000000,ALEMAR Food Group a.s. - 315700L63KOVVLIKGM26,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,22/04/2025,CZECHIA,Derivative securities,CZ1006000288,,25/04/2025,FTWS664090,Max 1385000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
