KEY,TITLE,TITLE_COMPL,PROSP3_MEASURE,FREQ,S_NCA,PROSP3_SECURITIES_TYPE,MTR,CURR_ISSNC,PROSP3_OFFER_TYPE,PROSP3_DOCUMENT_TYPE,SEC_TYPE_CFI,ISSUER_COU,ISSUER_SECTOR,PROSP3_PRSP_TYPE,PROSP3_SME_CAT_TYPE,PROSP3_PSSP,PROSP3_VENUE,PROSP3_LNGG,MV
PROSP3.MV.Q.A0.Z.Z.Z.Z.Z.D.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Debt in EEA3,,[MV] Consideration offer in EUR,[Q] quarterly,[A0] EEA3,Z,Z,Z,Z,Z,[D] Debt,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A0.Z.Z.Z.Z.Z.DB.Z.S13.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Bonds in EEA3 with issuer in sector Government,,[MV] Consideration offer in EUR,[Q] quarterly,[A0] EEA3,Z,Z,Z,Z,Z,[DB] Bonds,Z,[S13] Government,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A1.Z.Z.Z.Z.Z.CI.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed IFs in World with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[A1] World,Z,Z,Z,Z,Z,[CI] IFs,Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A1.Z.Z.Z.Z.Z.DB.Z.S13.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Bonds in World with issuer in sector Government,,[MV] Consideration offer in EUR,[Q] quarterly,[A1] World,Z,Z,Z,Z,Z,[DB] Bonds,Z,[S13] Government,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A1.Z.Z.Z.Z.Z.DT.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed MTN in World with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[A1] World,Z,Z,Z,Z,Z,[DT] MTN,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A1.Z.Z.Z.Z.Z.EY.Z.S13.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Structured instruments (participation) in World with issuer in sector Government,,[MV] Consideration offer in EUR,[Q] quarterly,[A1] World,Z,Z,Z,Z,Z,[EY] Structured instruments (participation),Z,[S13] Government,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A1.Z.Z.Z.Z.Z.RF.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Mini-future certificates in World,,[MV] Consideration offer in EUR,[Q] quarterly,[A1] World,Z,Z,Z,Z,Z,[RF] Mini-future certificates,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A1.Z.Z.Z.Z.Z.ZALL.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed All records if applicable in World with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[A1] World,Z,Z,Z,Z,Z,[ZALL] All records if applicable,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A1.Z.Z.Z.Z.Z.ZNAV.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed CFI not available in World with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[A1] World,Z,Z,Z,Z,Z,[ZNAV] CFI not available,Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.CB.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed REITs in EEA30 with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[CB] REITs,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
